Isolate ID,MLST,Count
BWH_272_E_col_1,ST131,328
BWH_277_E_col_1,ST131,328
BWH_300_E_col_1,ST131,328
BWH_318_E_col_1,ST131,328
BWH_336_E_col_1,ST131,328
BWH_349_E_col_1,ST131,328
BWH_350_E_col_1,ST131,328
BWH_355_E_col_1,ST131,328
BWH_362_E_col_1,ST131,328
BWH_365_E_col_1,ST131,328
BWH_377_E_col_1,ST131,328
BWH_389_E_col_1,ST131,328
BWH_395_E_col_1,ST131,328
BWH_485_E_col_1,ST131,328
BWH_516_E_col_1,ST131,328
BWH_670_E_col_1,ST131,328
BWH_759_E_col_1,ST131,328
BWH_762_E_col_1,ST131,328
BWH_792_E_col_1,ST131,328
BWH_793_E_col_1,ST131,328
BWH_824_E_col_1,ST131,328
BWH_832_E_col_1,ST131,328
BWH_843_E_col_1,ST131,328
BWH_846_E_col_1,ST131,328
BWH_850_E_col_1,ST131,328
BWH_852_E_col_1,ST131,328
BWH_858_E_col_1,ST131,328
BWH_873_E_col_1,ST131,328
BWH_883_E_col_1,ST131,328
BWH_887_E_col_1,ST131,328
BWH_893_E_col_1,ST131,328
BWH_895_E_col_1,ST131,328
BWH_896_E_col_1,ST131,328
BWH_937_E_col_1,ST131,328
BWH_944_E_col_1,ST131,328
BWH_948_E_col_1,ST131,328
BWH_967_E_col_1,ST131,328
BWH_976_E_col_1,ST131,328
BWH_977_E_col_1,ST131,328
BWH_982_E_col_1,ST131,328
BWH_983_E_col_1,ST131,328
BWH_984_E_col_1,ST131,328
BWH_994_E_col_1,ST131,328
C31,ST131,328
C39,ST131,328
C64,ST131,328
CMZE001,ST131,328
CMZE002,ST131,328
CMZE003,ST131,328
CMZE004,ST131,328
CMZE006,ST131,328
CMZE007,ST131,328
CMZE008,ST131,328
CMZE010,ST131,328
CMZE012,ST131,328
CMZE013,ST131,328
CMZE015,ST131,328
CMZE018,ST131,328
CMZE020,ST131,328
CMZE022,ST131,328
CMZE023,ST131,328
CMZE024,ST131,328
CMZE025,ST131,328
CMZE027,ST131,328
CMZE028,ST131,328
CMZE029,ST131,328
CMZE030,ST131,328
CMZE031,ST131,328
CMZE033,ST131,328
CMZE034,ST131,328
CMZE036,ST131,328
CMZE045,ST131,328
CMZE046,ST131,328
CMZE047,ST131,328
CMZE048,ST131,328
CMZE049,ST131,328
CMZE051,ST131,328
CMZE053,ST131,328
CMZE054,ST131,328
CMZE057,ST131,328
CMZE058,ST131,328
CMZE059,ST131,328
CMZE061,ST131,328
CMZE062,ST131,328
