Isolate ID,MLST,Count
CMZE014,ST95,30
CMZE050,ST95,30
CMZE115,ST95,30
EC10,ST95,30
EC154,ST95,30
MRSN831892,ST95,30
MRSN831906,ST95,30
MRSN918441,ST95,30
NU14,ST95,30
PAT13-3,ST95,30
PAT18-2,ST95,30
PAT23-3_1,ST95,30
PAT5-2,ST95,30
PAT6-2,ST95,30
PAT6-3,ST95,30
PAT6-4,ST95,30
UTI89,ST95,30
VUTI128,ST95,30
VUTI157,ST95,30
VUTI157_1,ST95,30
VUTI265,ST95,30
VUTI389,ST95,30
VUTI390,ST95,30
VUTI405,ST95,30
VUTI482,ST95,30
VUTI518,ST95,30
